voltage(V),current(A)
3.851498,-0.47
3.847774,-0.46
3.8484599999999998,-0.47
3.848362,-0.47
3.848362,-0.47
3.881878,-5.08
3.8835439999999997,-5.10
3.8847199999999997,-5.10
3.8859939999999997,-5.10
3.88619,-5.10
3.887268,-5.10
3.887464,-5.10
3.888248,-5.10
3.887954,-5.10
3.888444,-5.10
3.888836,-5.10
3.88913,-5.10
3.889424,-5.10
3.88962,-5.11
3.8903060000000003,-5.11
3.8906,-5.11
3.891188,-5.11
3.891776,-5.11
3.8925599999999996,-5.11
3.8929519999999997,-5.11
3.89354,-5.11
3.894618,-5.11
3.894716,-5.11
3.895402,-5.11
3.8956959999999996,-5.11
3.89648,-5.11
3.8963819999999996,-5.11
3.8963819999999996,-5.11
3.8968719999999997,-5.11
3.8969699999999996,-5.11
3.8975579999999996,-5.11
3.897656,-5.11
3.897656,-5.11
3.8980479999999997,-5.11
3.89795,-5.11
3.89844,-5.11
3.8987339999999997,-5.11
3.899028,-5.11
3.89893,-5.11
3.89893,-5.11
3.899224,-5.11
3.8999099999999998,-5.11
3.899518,-5.11
3.900204,-5.11
3.9004,-5.11
3.900204,-5.11
3.9011839999999998,-5.11
3.901478,-5.11
3.901576,-5.11
3.902066,-5.11
3.9018699999999997,-5.11
3.90285,-5.11
3.90334,-5.11
3.90334,-5.11
3.904026,-5.11
3.905006,-5.11
3.905202,-5.11
3.905594,-5.12
3.904908,-5.11
3.905692,-5.11
3.905986,-5.11
3.906378,-5.11
3.906574,-5.11
3.906476,-5.11
3.906672,-5.11
3.907162,-5.11
3.907064,-5.11
3.906966,-5.11
3.907358,-5.11
3.9074560000000003,-5.11
3.907358,-5.11
3.90726,-5.11
3.907652,-5.11
3.9081420000000002,-5.11
3.907848,-5.11
3.9080439999999994,-5.11
3.9080439999999994,-5.11
3.9081420000000002,-5.11
3.908436,-5.11
3.9085339999999995,-5.11
3.9091219999999995,-5.11
3.9092199999999995,-5.11
3.9093180000000003,-5.11
3.9096119999999996,-5.11
3.909514,-5.11
3.9100040000000003,-5.11
3.9099060000000003,-5.11
3.9102979999999996,-5.11
3.9102979999999996,-5.11
3.9102979999999996,-5.11
3.911278,-5.11
3.9114739999999997,-5.11
3.9119639999999998,-5.11
3.911866,-5.11
3.912356,-5.11
3.912552,-5.11
3.9129439999999995,-5.11
3.91314,-5.11
3.9135319999999996,-5.11
3.913042,-5.11
3.913826,-5.11
3.914218,-5.12
3.9147079999999996,-5.11
3.9146099999999997,-5.11
3.915002,-5.12
3.915492,-5.12
3.915688,-5.12
3.915688,-5.12
3.915688,-5.12
3.91608,-5.12
